base_lr,lr,data_time,loss,loss_cls,loss_bbox,time,epoch,iter,memory,step
4e-08,4e-08,49.90962886810303,0.17480741441249847,0.0707639753818512,0.10404343903064728,53.34305429458618,1.0,1.0,1283.0,1.0
4.043963963963964e-06,4.043963963963964e-06,24.960301995277405,0.17940914630889893,0.07059161737561226,0.10881752893328667,26.924681067466736,1.0,2.0,1322.0,2.0
8.047927927927926e-06,8.047927927927926e-06,16.64420183499654,0.1588782916466395,0.0705514724055926,0.0883268192410469,18.112479368845623,1.0,3.0,1321.0,3.0
1.205189189189189e-05,1.205189189189189e-05,12.488382756710052,0.15364490076899529,0.07054872438311577,0.08309617638587952,13.70499587059021,1.0,4.0,1322.0,4.0
1.6055855855855853e-05,1.6055855855855853e-05,9.993626308441161,0.18824200928211213,0.0704428568482399,0.1177991509437561,11.059034633636475,1.0,5.0,1325.0,5.0
2.0059819819819814e-05,2.0059819819819814e-05,8.330337762832642,0.20382540673017502,0.07038149610161781,0.13344390938679376,9.297352194786072,1.0,6.0,1325.0,6.0
2.4063783783783776e-05,2.4063783783783776e-05,7.14142302104405,0.2485977773155485,0.07027349088873182,0.178324288555554,8.044515643801008,1.0,7.0,1336.0,7.0
2.806774774774774e-05,2.806774774774774e-05,6.2511686980724335,0.27548311464488506,0.07015241123735905,0.20533070527017117,7.105965405702591,1.0,8.0,1332.0,8.0
3.2071711711711706e-05,3.2071711711711706e-05,5.55777637163798,0.2770245588488049,0.07004250089327495,0.20698205795552996,6.374114063051012,1.0,9.0,1328.0,9.0
3.607567567567567e-05,3.607567567567567e-05,5.002889156341553,0.31739043444395065,0.07020651027560235,0.2471839264035225,5.785786437988281,1.0,10.0,1327.0,10.0
4.0079639639639635e-05,4.0079639639639635e-05,4.549728501926769,0.32383945177901874,0.07007609781893817,0.25376335734670813,5.30581918629733,1.0,11.0,1330.0,11.0
4.40836036036036e-05,4.40836036036036e-05,4.171465277671814,0.3383456903199355,0.06995948279897372,0.26838621124625206,4.906421184539795,1.0,12.0,1329.0,12.0
4.808756756756756e-05,4.808756756756756e-05,3.851730860196627,0.3605384219151277,0.06984858558728145,0.2906898409128189,4.567250801966741,1.0,13.0,1326.0,13.0
5.209153153153152e-05,5.209153153153152e-05,3.578985265323094,0.3824864870735577,0.0697714973773275,0.3127149950180735,4.282623069626944,1.0,14.0,1340.0,14.0
5.609549549549549e-05,5.609549549549549e-05,3.3414016246795653,0.4226139138142268,0.06972894966602325,0.35288496911525724,4.030283117294312,1.0,15.0,1326.0,15.0
6.0099459459459453e-05,6.0099459459459453e-05,3.1336602717638016,0.5183701431378722,0.0756228556856513,0.4427472958341241,3.8124078512191772,1.0,16.0,1338.0,16.0
6.41034234234234e-05,6.41034234234234e-05,2.949937539942124,0.5720487684011459,0.07569604454671636,0.4963527295519324,3.6195105524624096,1.0,17.0,1331.0,17.0
6.810738738738738e-05,6.810738738738738e-05,2.7871102492014566,0.643622967104117,0.0760052241384983,0.5676177483465936,3.448634306589762,1.0,18.0,1343.0,18.0
7.211135135135135e-05,7.211135135135135e-05,2.64128441559641,0.6969954708689138,0.07759320775144979,0.6194022650781431,3.292560577392578,1.0,19.0,1327.0,19.0
7.61153153153153e-05,7.61153153153153e-05,2.5109497904777527,0.7593238346278668,0.07877515181899071,0.6805486865341663,3.1548104524612426,1.0,20.0,1335.0,20.0
8.011927927927928e-05,8.011927927927928e-05,2.3920838946387883,0.8161044624589738,0.0850418210029602,0.7310626457134882,3.032576390675136,1.0,21.0,1340.0,21.0
8.412324324324324e-05,8.412324324324324e-05,2.2842254747043955,0.8680836009708318,0.09331291778521104,0.7747706886042248,2.917810472575101,1.0,22.0,1334.0,22.0
8.81272072072072e-05,8.81272072072072e-05,2.1860079247018565,0.9143618235121602,0.1036857185156449,0.8106761088837748,2.813440934471462,1.0,23.0,1334.0,23.0
9.213117117117117e-05,9.213117117117117e-05,2.0958564281463623,0.9541477207094431,0.11120662465691566,0.8429411010195812,2.716991146405538,1.0,24.0,1331.0,24.0
9.613513513513512e-05,9.613513513513512e-05,2.012952308654785,0.9971594661474228,0.12729086756706237,0.8698685985803604,2.6283119678497315,1.0,25.0,1325.0,25.0
0.00010013909909909908,0.00010013909909909908,1.9365004759568434,1.0344947708340793,0.13401728983108813,0.9004774787105047,2.547186952370864,1.0,26.0,1329.0,26.0
0.00010414306306306305,0.00010414306306306305,1.8654201913762976,1.0684539162450366,0.14377454143983345,0.9246793725976238,2.471333071037575,1.0,27.0,1327.0,27.0
0.00010814702702702703,0.00010814702702702703,1.7994161929403032,1.098432578678642,0.1556345894932747,0.9427979891853673,2.4008600796972,1.0,28.0,1328.0,28.0
0.00011215099099099098,0.00011215099099099098,1.7381516653915932,1.1289046709907467,0.16632573255177202,0.9625789384389746,2.336430524957591,1.0,29.0,1330.0,29.0
0.00011615495495495494,0.00011615495495495494,1.6810598055521646,1.156890753408273,0.17574834823608398,0.9811424061655998,2.2763720989227294,1.0,30.0,1331.0,30.0
0.0001201589189189189,0.0001201589189189189,1.6273805710577196,1.1812358743721438,0.179675139727131,1.0015607346450128,2.2203478044079197,1.0,31.0,1339.0,31.0
0.00012416288288288286,0.00012416288288288286,1.5770368576049805,1.2020861539058387,0.18460654467344284,1.0174796101637185,2.1666213274002075,1.0,32.0,1325.0,32.0
0.00012816684684684683,0.00012816684684684683,1.5302690592679111,1.2233592122793198,0.19367956392692798,1.0296796492554925,2.117364905097268,1.0,33.0,1339.0,33.0
