base_lr,lr,data_time,loss,loss_kpt,acc_pose,time,epoch,iter,memory,step
4e-08,4e-08,11.032321453094482,0.10595806688070297,0.10595806688070297,0.0,18.11922335624695,1.0,1.0,10993.0,1.0
0.0002105642105263158,0.0002105642105263158,5.524036645889282,0.10286915674805641,0.10286915674805641,0.0,9.529718160629272,1.0,2.0,11104.0,2.0
0.00042108842105263163,0.00042108842105263163,3.6878875096639,0.10433561603228252,0.10433561603228252,0.0,6.6325013637542725,1.0,3.0,11104.0,3.0
0.0006316126315789475,0.0006316126315789475,2.7709373831748962,0.106086615473032,0.106086615473032,0.12839506172839507,5.169752717018127,1.0,4.0,11104.0,4.0
0.0008421368421052633,0.0008421368421052633,2.219982719421387,0.10372066795825959,0.10372066795825959,0.03333333333333333,4.278758478164673,1.0,5.0,11104.0,5.0
0.001052661052631579,0.001052661052631579,1.8533167441685994,0.10256178180376689,0.10256178180376689,0.4252873563218391,3.6802959044774375,1.0,6.0,11104.0,6.0
0.0012631852631578948,0.0012631852631578948,1.5914086614336287,0.09939313573496682,0.09939313573496682,0.08602150537634408,3.2496186324528287,1.0,7.0,11104.0,7.0
0.0014737094736842105,0.0014737094736842105,1.4250051379203796,0.09845733363181353,0.09845733363181353,0.05128205128205129,2.9501190185546875,1.0,8.0,11104.0,8.0
0.0016842336842105262,0.0016842336842105262,1.3042089409298367,0.09635978357659446,0.09635978357659446,0.4482758620689655,2.7236839135487876,1.0,9.0,11104.0,9.0
0.0018947578947368419,0.0018947578947368419,1.2039114713668824,0.0953105330467224,0.0953105330467224,0.1685823754789272,2.538340997695923,1.0,10.0,11104.0,10.0
0.0021052821052631576,0.0021052821052631576,1.125081474130804,0.09433502636172554,0.09433502636172554,0.2911877394636015,2.3885931968688965,1.0,11.0,11104.0,11.0
0.0023158063157894732,0.0023158063157894732,1.0613919297854106,0.09348195418715477,0.09348195418715477,0.4166666666666667,2.2659659186999,1.0,12.0,11104.0,12.0
0.002526330526315789,0.002526330526315789,1.0082097970522368,0.09348948185260479,0.09348948185260479,0.2222222222222222,2.1620948864863467,1.0,13.0,11104.0,13.0
0.0027368547368421046,0.0027368547368421046,0.9612340927124023,0.09364966356328555,0.09364966356328555,0.2796934865900383,2.07131780896868,1.0,14.0,11104.0,14.0
0.0029473789473684203,0.0029473789473684203,0.920400873819987,0.09309251010417938,0.09309251010417938,0.3125,1.9934756437937418,1.0,15.0,11104.0,15.0
0.003157903157894736,0.003157903157894736,0.8889317959547043,0.0927415294572711,0.0927415294572711,0.18253968253968253,1.9296498596668243,1.0,16.0,11104.0,16.0
0.0033684273684210517,0.0033684273684210517,0.8552614240085378,0.09233076475998934,0.09233076475998934,0.4252873563218391,1.8679840143989115,1.0,17.0,11104.0,17.0
0.0035789515789473674,0.0035789515789473674,0.8300603628158569,0.09213154017925262,0.09213154017925262,0.6,1.8173170222176447,1.0,18.0,11104.0,18.0
0.0037894757894736835,0.0037894757894736835,0.80220795932569,0.09206515472186239,0.09206515472186239,0.08888888888888889,1.7660328338020725,1.0,19.0,11104.0,19.0
0.003999999999999999,0.003999999999999999,0.7782278180122375,0.0919437412172556,0.0919437412172556,0.3371647509578544,1.7204577684402467,1.0,20.0,11104.0,20.0
0.003999999999999999,0.003999999999999999,0.7547499906449091,0.09154929965734482,0.09154929965734482,0.09677419354838711,1.6788160914466494,1.0,21.0,11104.0,21.0
0.003999999999999999,0.003999999999999999,0.732673850926486,0.09156531332568689,0.09156531332568689,0.15555555555555556,1.6403805776075884,1.0,22.0,11104.0,22.0
0.003999999999999999,0.003999999999999999,0.7125339197075885,0.09116400357173837,0.09116400357173837,0.21875,1.6045885811681333,1.0,23.0,11104.0,23.0
0.003999999999999999,0.003999999999999999,0.6954160928726196,0.09528777903566758,0.09528777903566758,0.11904761904761905,1.5734311640262604,1.0,24.0,11104.0,24.0
0.003999999999999999,0.003999999999999999,0.6790065288543701,0.09512216180562973,0.09512216180562973,0.27777777777777773,1.5441296195983887,1.0,25.0,11104.0,25.0
0.003999999999999999,0.003999999999999999,0.6664745532549344,0.09440098645595404,0.09440098645595404,0.34375,1.5196401614409227,1.0,26.0,11104.0,26.0
0.003999999999999999,0.003999999999999999,0.654145152480514,0.09531394916552084,0.09531394916552084,0.39285714285714285,1.4963283450515181,1.0,27.0,11104.0,27.0
0.003999999999999999,0.003999999999999999,0.6401036977767944,0.09558907497142043,0.09558907497142043,0.17204301075268816,1.4723355599812098,1.0,28.0,11104.0,28.0
0.003999999999999999,0.003999999999999999,0.6291240823679957,0.0956980010558819,0.0956980010558819,0.2888888888888889,1.452307421585609,1.0,29.0,11104.0,29.0
0.003999999999999999,0.003999999999999999,0.6192043383916219,0.10609045922756195,0.10609045922756195,0.0,1.4333800236384073,1.0,30.0,11104.0,30.0
0.003999999999999999,0.003999999999999999,0.6073605014431861,0.10879474157287229,0.10879474157287229,0.06410256410256411,1.4135246276855469,1.0,31.0,11104.0,31.0
0.003999999999999999,0.003999999999999999,0.5994602888822556,0.10957503458485007,0.10957503458485007,0.24904214559386972,1.3979176729917526,1.0,32.0,11104.0,32.0
0.003999999999999999,0.003999999999999999,0.593557747927579,0.115997057520982,0.115997057520982,0.38709677419354843,1.3850983634139553,1.0,33.0,11104.0,33.0
0.003999999999999999,0.003999999999999999,0.5858692842371324,0.11745350413462695,0.11745350413462695,0.1111111111111111,1.370435728746302,1.0,34.0,11104.0,34.0
